feedback_id,review_sentiment,review_theme_primary,review_need_type,review_severity,review_purchase_impact,review_confidence,conflict_fields,review_status,human_review_required
F0001,2,connectivity,real_need,S3,unknown,0.88,,agreed,False
F0002,3,connectivity,real_need,S3,influence,0.88,sentiment;purchase_impact,conflict,False
F0003,2,connectivity,real_need,S3,unknown,0.82,theme_primary,conflict,True
F0004,2,firmware,real_need,S3,influence,0.9,severity;purchase_impact,conflict,True
F0005,2,connectivity,incidental_failure,S4,unknown,0.98,need_type;severity,conflict,True
F0006,2,connectivity,real_need,S2,influence,0.85,severity;purchase_impact,conflict,True
F0007,3,connectivity,real_need,S3,influence,0.82,sentiment;need_type;purchase_impact,conflict,True
F0008,2,hardware,real_need,S4,unknown,0.85,severity,conflict,True
F0009,2,connectivity,real_need,S3,influence,0.82,theme_primary,conflict,True
F0010,2,firmware,real_need,S3,influence,0.9,purchase_impact,conflict,False
F0011,1,data_accuracy,real_need,S3,unknown,0.88,theme_primary,conflict,True
F0012,2,hardware,real_need,S4,unknown,0.9,,agreed,False
F0013,2,connectivity,real_need,S3,influence,0.88,purchase_impact,conflict,False
F0014,2,navigation,real_need,S3,influence,0.82,need_type;severity;purchase_impact,conflict,True
F0015,2,feature_request,feature_request,S4,unknown,0.85,,agreed,False
F0016,2,display_ux,real_need,S4,influence,0.88,purchase_impact,conflict,False
F0017,1,navigation,real_need,S1,blocker,0.95,purchase_impact,conflict,False
F0018,1,navigation,real_need,S2,blocker,0.92,sentiment;severity;purchase_impact,conflict,True
F0019,1,firmware,real_need,S3,influence,0.9,severity;purchase_impact,conflict,True
F0020,1,firmware,real_need,S2,blocker,0.88,,agreed,False
F0021,1,firmware,real_need,S1,blocker,0.95,sentiment;severity;purchase_impact,conflict,True
F0022,1,firmware,real_need,S4,unknown,0.98,sentiment;severity;purchase_impact,conflict,True
F0023,1,firmware,real_need,S2,blocker,0.85,sentiment;purchase_impact,conflict,False
F0024,2,hardware,real_need,S3,unknown,0.85,,agreed,False
F0025,2,data_accuracy,real_need,S3,unknown,0.85,,agreed,False
F0026,2,data_accuracy,real_need,S3,influence,0.92,purchase_impact,conflict,False
F0027,1,hardware,real_need,S2,blocker,0.92,,agreed,False
F0028,2,hardware,real_need,S3,influence,0.85,severity;purchase_impact,conflict,True
