feedback_id,sentiment,theme_primary,need_type,severity,purchase_impact,review_status
F0001,2,connectivity,real_need,S3,unknown,approved
F0002,2,connectivity,real_need,S3,unknown,pending
F0003,2,display_ux,real_need,S3,unknown,pending
F0004,2,firmware,real_need,S4,unknown,pending
F0005,2,connectivity,real_need,S2,unknown,pending
F0006,2,connectivity,real_need,S3,unknown,approved
F0007,2,connectivity,real_need,S3,unknown,pending
F0008,2,hardware,real_need,S2,unknown,approved
F0009,2,connectivity,real_need,S3,influence,approved
F0010,2,firmware,real_need,S3,blocker,approved
F0011,1,data_accuracy,real_need,S3,unknown,approved
F0012,2,hardware,real_need,S4,influence,pending
F0013,2,connectivity,real_need,S3,unknown,approved
F0014,2,navigation,feature_request,S4,unknown,pending
F0015,2,connectivity,feature_request,S5,unknown,pending
F0016,3,display_ux,real_need,S4,unknown,approved
F0017,1,navigation,real_need,S1,unknown,pending
F0018,2,navigation,real_need,S2,unknown,approved
F0019,2,firmware,real_need,S2,unknown,approved
F0020,1,firmware,real_need,S2,unknown,approved
F0021,2,firmware,real_need,S2,unknown,pending
F0022,2,firmware,real_need,S3,unknown,approved
F0023,2,firmware,real_need,S2,unknown,approved
F0024,2,hardware,real_need,S3,unknown,approved
F0025,3,hardware,real_need,S3,unknown,approved
F0026,2,data_accuracy,real_need,S3,unknown,approved
F0027,2,hardware,real_need,S2,blocker,approved
F0028,2,hardware,real_need,S3,influence,approved
F0029,2,hardware,real_need,S3,unknown,pending
F0032,2,connectivity,real_need,S2,unknown,pending
F0033,2,hardware,real_need,S3,unknown,pending
F0034,2,display_ux,real_need,S4,unknown,approved
F0035,2,display_ux,real_need,S3,unknown,pending
F0036,2,data_accuracy,real_need,S3,unknown,approved
F0037,2,firmware,real_need,S3,unknown,approved
F0038,2,hardware,real_need,S2,blocker,pending
F0040,2,connectivity,real_need,S3,unknown,approved
F0041,1,other,real_need,S2,unknown,pending
F0042,3,other,unknown,S5,unknown,pending
F0043,2,feature_request,feature_request,S5,influence,approved
F0044,1,connectivity,real_need,S3,unknown,pending
F0045,4,feature_request,feature_request,S5,unknown,approved
F0046,2,after_sales,emotional_complaint,S4,unknown,pending
F0047,1,data_accuracy,real_need,S2,unknown,approved
F0048,2,compatibility,real_need,S4,unknown,pending
F0049,1,connectivity,real_need,S3,unknown,pending
F0050,2,other,real_need,S2,unknown,pending
F0051,5,other,emotional_complaint,S5,unknown,pending
F0052,2,connectivity,real_need,S3,unknown,approved
F0053,2,compatibility,feature_request,S4,influence,pending
F0054,2,connectivity,real_need,S3,unknown,pending
F0055,2,compatibility,real_need,S3,unknown,pending
F0056,3,other,unknown,S5,unknown,pending
F0057,3,feature_request,feature_request,S5,unknown,pending
F0058,1,after_sales,real_need,S3,unknown,pending
F0059,2,feature_request,feature_request,S4,unknown,approved
F0060,1,connectivity,real_need,S3,unknown,pending
