feedback_id,review_sentiment,review_theme_primary,review_need_type,review_severity,review_purchase_impact,review_confidence,conflict_fields,review_status,human_review_required
F0001,2,connectivity,incidental_failure,S3,unknown,0.72,,agreed,False
F0002,2,compatibility,real_need,S3,influence,0.92,theme_primary;purchase_impact,conflict,True
F0003,2,connectivity,real_need,S3,unknown,0.88,theme_primary;severity,conflict,True
F0004,3,firmware,real_need,S3,influence,0.88,sentiment;severity;purchase_impact,conflict,True
F0005,2,connectivity,real_need,S2,unknown,0.95,severity,conflict,True
F0006,2,connectivity,real_need,S3,unknown,0.88,,agreed,False
F0007,2,connectivity,real_need,S3,unknown,0.82,need_type,conflict,True
F0008,2,hardware,real_need,S3,unknown,0.88,,agreed,False
F0009,2,connectivity,real_need,S3,influence,0.82,,agreed,False
F0010,2,firmware,real_need,S4,blocker,0.82,purchase_impact,conflict,False
F0011,1,navigation,real_need,S3,influence,0.88,sentiment;theme_primary;severity;purchase_impact,conflict,True
F0012,2,hardware,real_need,S3,unknown,0.88,severity,conflict,True
F0013,2,connectivity,real_need,S3,unknown,0.82,,agreed,False
F0014,2,navigation,real_need,S2,influence,0.88,need_type;severity;purchase_impact,conflict,True
F0015,3,feature_request,feature_request,S5,no_impact,0.82,sentiment;theme_primary;severity;purchase_impact,conflict,True
F0016,3,display_ux,real_need,S4,influence,0.82,sentiment;purchase_impact,conflict,False
F0017,1,navigation,real_need,S1,blocker,0.95,sentiment;severity,conflict,True
F0018,1,hardware,real_need,S2,unknown,0.9,sentiment;theme_primary,conflict,True
F0019,1,firmware,real_need,S1,blocker,0.95,severity;purchase_impact,conflict,True
F0020,1,firmware,real_need,S2,unknown,0.82,theme_primary,conflict,True
F0021,1,firmware,real_need,S2,unknown,0.95,sentiment,conflict,False
F0022,2,firmware,real_need,S3,unknown,0.98,,agreed,False
F0023,1,firmware,real_need,S2,influence,0.9,theme_primary;purchase_impact,conflict,True
F0024,2,hardware,real_need,S4,unknown,0.85,severity,conflict,True
F0025,3,data_accuracy,real_need,S3,influence,0.88,sentiment;theme_primary;purchase_impact,conflict,True
F0026,2,data_accuracy,real_need,S3,influence,0.92,severity;purchase_impact,conflict,True
F0027,1,hardware,real_need,S2,blocker,0.95,purchase_impact,conflict,False
F0028,2,hardware,real_need,S4,influence,0.88,severity,conflict,True
F0029,2,hardware,real_need,S3,influence,0.88,,agreed,False
F0032,1,compatibility,real_need,S3,influence,0.75,sentiment;purchase_impact,conflict,False
F0033,1,firmware,real_need,S2,blocker,0.92,sentiment;theme_primary;severity;purchase_impact,conflict,True
F0034,2,display_ux,real_need,S4,influence,0.88,purchase_impact,conflict,False
F0035,2,feature_request,real_need,S3,unknown,0.82,need_type;severity,conflict,True
F0036,2,data_accuracy,real_need,S4,unknown,0.9,severity,conflict,True
F0037,2,firmware,real_need,S3,influence,0.72,purchase_impact,conflict,False
F0038,2,firmware,real_need,S2,influence,0.92,purchase_impact,conflict,False
F0040,3,connectivity,real_need,S4,unknown,0.82,sentiment;severity,conflict,True
F0041,1,data_accuracy,real_need,S3,influence,0.72,theme_primary;severity;purchase_impact,conflict,True
F0042,3,other,unknown,S5,unknown,0.1,,agreed,True
F0043,3,feature_request,feature_request,S5,unknown,0.85,sentiment;purchase_impact,conflict,False
F0044,1,data_accuracy,real_need,S3,unknown,0.98,theme_primary,conflict,True
F0045,4,feature_request,feature_request,S5,no_impact,0.92,purchase_impact,conflict,False
F0046,2,after_sales,real_need,S3,influence,0.78,severity;purchase_impact,conflict,True
F0047,1,data_accuracy,real_need,S2,unknown,0.78,need_type,conflict,True
F0048,2,feature_request,feature_request,S5,unknown,0.55,theme_primary;need_type;severity,conflict,True
F0049,1,compatibility,real_need,S2,influence,0.88,theme_primary;severity;purchase_impact,conflict,True
F0050,2,connectivity,real_need,S2,unknown,0.82,,agreed,False
F0051,5,other,unknown,S5,unknown,0.3,purchase_impact,conflict,True
F0052,2,connectivity,real_need,S2,unknown,0.85,,agreed,False
F0053,2,compatibility,feature_request,S4,influence,0.88,,agreed,False
F0054,2,compatibility,real_need,S3,unknown,0.85,theme_primary,conflict,True
F0055,2,feature_request,feature_request,S4,unknown,0.82,,agreed,False
F0056,3,other,unknown,S5,unknown,0.0,,failed,True
F0057,3,feature_request,feature_request,S5,unknown,0.9,,agreed,False
F0058,1,price_value,real_need,S3,blocker,0.88,need_type;severity;purchase_impact,conflict,True
F0059,2,feature_request,feature_request,S4,influence,0.82,sentiment,conflict,False
F0060,1,connectivity,real_need,S3,unknown,0.82,,agreed,False
F0061,2,compatibility,feature_request,S4,influence,0.45,sentiment;need_type;severity;purchase_impact,conflict,True
F0062,1,after_sales,real_need,S2,blocker,0.92,theme_primary;severity;purchase_impact,conflict,True
F0063,2,connectivity,real_need,S3,unknown,0.72,severity,conflict,True
F0064,3,feature_request,feature_request,S5,unknown,0.62,,agreed,True
F0065,2,firmware,emotional_complaint,S4,unknown,0.62,theme_primary,conflict,True
F0066,2,firmware,real_need,S3,unknown,0.82,theme_primary;need_type;severity,conflict,True
F0067,2,compatibility,real_need,S3,unknown,0.78,theme_primary;need_type,conflict,True
F0068,1,compatibility,real_need,S3,blocker,0.82,theme_primary;purchase_impact,conflict,True
