feedback_id,sentiment,theme_primary,need_type,severity,purchase_impact,review_status
F0001,2,connectivity,incidental_failure,S3,unknown,approved
F0002,2,connectivity,real_need,S3,unknown,pending
F0003,2,display_ux,real_need,S2,unknown,pending
F0004,2,firmware,real_need,S4,unknown,pending
F0005,2,connectivity,real_need,S3,unknown,pending
F0006,2,connectivity,real_need,S3,unknown,approved
F0007,2,connectivity,incidental_failure,S3,unknown,pending
F0008,2,hardware,real_need,S3,unknown,approved
F0009,2,connectivity,real_need,S3,influence,approved
F0010,2,firmware,real_need,S4,influence,approved
F0011,2,data_accuracy,real_need,S4,unknown,pending
F0012,2,hardware,real_need,S4,unknown,pending
F0013,2,connectivity,real_need,S3,unknown,approved
F0014,2,navigation,feature_request,S4,unknown,pending
F0015,2,connectivity,feature_request,S4,unknown,pending
F0016,2,display_ux,real_need,S4,unknown,approved
F0017,2,navigation,real_need,S3,blocker,pending
F0018,2,navigation,real_need,S2,unknown,pending
F0019,1,firmware,real_need,S2,unknown,pending
F0020,1,hardware,real_need,S2,unknown,pending
F0021,2,firmware,real_need,S2,unknown,approved
F0022,2,firmware,real_need,S3,unknown,approved
F0023,1,connectivity,real_need,S2,unknown,pending
F0024,2,hardware,real_need,S3,unknown,pending
F0025,2,hardware,real_need,S3,unknown,pending
F0026,2,data_accuracy,real_need,S2,unknown,pending
F0027,1,hardware,real_need,S2,unknown,approved
F0028,2,hardware,real_need,S2,influence,pending
F0029,2,hardware,real_need,S3,influence,approved
F0032,2,compatibility,real_need,S3,unknown,approved
F0033,2,hardware,real_need,S3,unknown,pending
F0034,2,display_ux,real_need,S4,unknown,approved
F0035,2,feature_request,feature_request,S4,unknown,pending
F0036,2,data_accuracy,real_need,S3,unknown,pending
F0037,2,firmware,real_need,S3,unknown,approved
F0038,2,firmware,real_need,S2,blocker,approved
F0040,2,connectivity,real_need,S3,unknown,pending
F0041,1,other,real_need,S2,unknown,pending
F0042,3,other,unknown,S5,unknown,pending
F0043,2,feature_request,feature_request,S5,influence,approved
F0044,1,connectivity,real_need,S3,unknown,pending
F0045,4,feature_request,feature_request,S5,unknown,approved
F0046,2,after_sales,real_need,S4,unknown,pending
F0047,1,data_accuracy,emotional_complaint,S2,unknown,pending
F0048,2,connectivity,real_need,S4,unknown,pending
F0049,1,connectivity,real_need,S3,blocker,pending
F0050,2,connectivity,real_need,S2,unknown,approved
F0051,5,other,unknown,S5,no_impact,pending
F0052,2,connectivity,real_need,S2,unknown,approved
F0053,2,compatibility,feature_request,S4,influence,approved
F0054,2,connectivity,real_need,S3,unknown,pending
F0055,2,feature_request,feature_request,S4,unknown,approved
F0056,3,other,unknown,S5,unknown,pending
F0057,3,feature_request,feature_request,S5,unknown,approved
F0058,1,price_value,emotional_complaint,S4,influence,pending
F0059,1,feature_request,feature_request,S4,influence,approved
F0060,1,connectivity,real_need,S3,unknown,approved
F0061,3,compatibility,unknown,S5,unknown,pending
F0062,1,compatibility,real_need,S3,influence,pending
F0063,2,connectivity,real_need,S2,unknown,pending
F0064,3,feature_request,feature_request,S5,unknown,pending
F0065,2,other,emotional_complaint,S4,unknown,pending
F0066,2,feature_request,feature_request,S4,unknown,pending
F0067,2,connectivity,unknown,S3,unknown,pending
F0068,1,connectivity,real_need,S3,influence,pending
F0069,1,compatibility,real_need,S3,blocker,pending
F0070,1,other,emotional_complaint,S5,unknown,approved
F0071,2,other,real_need,S2,unknown,pending
F0072,2,connectivity,unknown,S4,unknown,pending
F0073,2,firmware,operation_misunderstanding,S4,unknown,pending
F0074,1,other,emotional_complaint,S5,unknown,approved
F0075,1,connectivity,real_need,S3,unknown,approved
F0076,3,feature_request,feature_request,S5,unknown,pending
F0077,2,feature_request,feature_request,S5,unknown,approved
F0078,3,other,unknown,S5,unknown,approved
F0079,2,feature_request,feature_request,S5,unknown,pending
F0080,3,hardware,operation_misunderstanding,S4,unknown,pending
F0081,1,feature_request,feature_request,S5,influence,pending
F0082,2,navigation,real_need,S3,unknown,pending
F0083,4,feature_request,feature_request,S5,no_impact,approved
F0084,2,compatibility,feature_request,S5,unknown,approved
F0085,4,other,unknown,S5,unknown,pending
F0086,2,compatibility,feature_request,S5,unknown,approved
F0087,4,other,emotional_complaint,S5,no_impact,pending
F0088,3,feature_request,feature_request,S5,unknown,approved
F0089,2,connectivity,real_need,S3,unknown,approved
F0090,2,connectivity,real_need,S3,unknown,pending
F0091,1,connectivity,real_need,S3,influence,pending
F0092,2,firmware,real_need,S4,unknown,approved
F0093,1,connectivity,real_need,S3,unknown,pending
F0094,4,other,emotional_complaint,S5,unknown,pending
F0095,3,feature_request,feature_request,S5,unknown,approved
F0096,2,connectivity,real_need,S3,unknown,approved
F0097,1,display_ux,real_need,S3,influence,pending
F0098,2,feature_request,feature_request,S5,unknown,approved
F0099,2,connectivity,real_need,S3,unknown,approved
F0100,5,other,unknown,S5,no_impact,pending
F0101,5,feature_request,emotional_complaint,S5,no_impact,pending
F0102,5,connectivity,unknown,S5,no_impact,pending
F0103,2,compatibility,real_need,S4,unknown,approved
F0104,2,connectivity,real_need,S2,unknown,pending
F0105,4,hardware,real_need,S5,no_impact,pending
F0106,2,connectivity,real_need,S3,unknown,approved
F0107,3,display_ux,feature_request,S5,unknown,approved
F0108,2,connectivity,real_need,S4,unknown,pending
F0109,4,other,unknown,S5,unknown,pending
F0110,2,firmware,real_need,S4,unknown,approved
F0111,1,price_value,feature_request,S4,influence,pending
F0112,1,display_ux,emotional_complaint,S4,unknown,pending
F0113,5,other,emotional_complaint,S5,no_impact,pending
F0114,2,connectivity,real_need,S3,unknown,approved
F0115,4,other,unknown,S5,no_impact,pending
F0116,1,price_value,emotional_complaint,S5,blocker,pending
F0117,2,firmware,real_need,S3,influence,pending
F0118,1,display_ux,emotional_complaint,S4,influence,pending
F0119,2,connectivity,real_need,S3,unknown,approved
F0120,5,other,unknown,S5,no_impact,approved
F0121,5,data_accuracy,unknown,S5,no_impact,pending
F0122,2,other,emotional_complaint,S5,unknown,approved
F0123,2,display_ux,feature_request,S4,influence,pending
F0124,1,connectivity,real_need,S3,blocker,pending
F0125,2,display_ux,feature_request,S4,unknown,pending
F0126,1,connectivity,real_need,S3,unknown,pending
F0127,5,other,emotional_complaint,S5,no_impact,pending
F0128,2,data_accuracy,real_need,S2,influence,approved
F0129,4,feature_request,feature_request,S5,no_impact,pending
F0130,2,display_ux,real_need,S4,unknown,pending
F0131,1,price_value,emotional_complaint,S5,influence,pending
F0132,2,connectivity,real_need,S3,unknown,approved
