feedback_id,review_sentiment,review_theme_primary,review_need_type,review_severity,review_purchase_impact,review_confidence,conflict_fields,review_status,human_review_required
F0001,2,connectivity,real_need,S2,unknown,0.85,,agreed,False
F0002,2,data_accuracy,real_need,S3,unknown,0.82,theme_primary,conflict,True
F0003,2,display_ux,real_need,S2,unknown,0.8,severity,conflict,True
F0004,2,display_ux,real_need,S4,unknown,0.9,,agreed,False
F0005,2,connectivity,real_need,S2,unknown,0.7,need_type,conflict,True
F0006,2,connectivity,real_need,S3,unknown,0.9,,agreed,False
F0007,2,connectivity,real_need,S3,unknown,0.8,,agreed,False
F0008,2,hardware,real_need,S4,unknown,0.85,,agreed,False
F0009,2,connectivity,real_need,S3,unknown,0.8,,agreed,False
F0010,2,firmware,real_need,S4,unknown,0.7,need_type;purchase_impact,conflict,True
F0011,2,data_accuracy,real_need,S3,unknown,0.8,,agreed,False
F0012,2,hardware,real_need,S4,unknown,0.8,,agreed,False
F0013,2,connectivity,real_need,S3,unknown,0.8,severity,conflict,True
F0014,2,navigation,real_need,S3,unknown,0.85,need_type,conflict,True
F0015,2,navigation,real_need,S3,unknown,0.75,theme_primary;need_type;severity,conflict,True
F0016,2,display_ux,real_need,S4,unknown,0.9,need_type,conflict,True
F0017,1,navigation,real_need,S2,unknown,0.88,,agreed,False
F0018,2,navigation,real_need,S2,unknown,0.85,,agreed,False
F0019,1,firmware,real_need,S3,unknown,0.9,sentiment,conflict,False
F0020,1,firmware,real_need,S2,unknown,0.85,,agreed,False
F0021,2,firmware,real_need,S2,unknown,0.95,,agreed,False
F0022,1,firmware,real_need,S4,unknown,0.9,sentiment,conflict,False
F0023,2,firmware,real_need,S2,unknown,0.85,,agreed,False
F0024,2,hardware,real_need,S4,unknown,0.8,,agreed,False
F0025,2,data_accuracy,real_need,S3,unknown,0.85,,agreed,False
F0026,2,data_accuracy,real_need,S3,unknown,0.9,,agreed,False
F0027,1,hardware,real_need,S2,unknown,0.9,sentiment,conflict,False
F0028,2,hardware,real_need,S4,unknown,0.8,,agreed,False
F0029,2,hardware,real_need,S4,unknown,0.8,,agreed,False
F0032,2,compatibility,real_need,S3,unknown,0.7,severity,conflict,True
F0033,1,firmware,real_need,S2,unknown,0.85,sentiment,conflict,False
F0034,2,display_ux,real_need,S4,unknown,0.9,,agreed,False
F0035,2,connectivity,real_need,S4,unknown,0.75,,agreed,False
F0036,2,data_accuracy,real_need,S4,unknown,0.8,severity,conflict,True
F0037,2,firmware,emotional_complaint,S5,unknown,0.7,,agreed,False
F0038,1,firmware,real_need,S3,blocker,0.8,sentiment;theme_primary,conflict,True
F0040,2,connectivity,real_need,S3,unknown,0.75,severity,conflict,True
