feedback_id,review_sentiment,review_theme_primary,review_need_type,review_severity,review_purchase_impact,review_confidence,conflict_fields,review_status,human_review_required
F0001,2,connectivity,real_need,S3,influence,0.78,purchase_impact,conflict,False
F0002,2,connectivity,real_need,S3,influence,0.82,purchase_impact,conflict,False
F0003,2,connectivity,real_need,S2,unknown,0.88,theme_primary,conflict,True
F0004,3,firmware,real_need,S3,influence,0.75,sentiment;severity;purchase_impact,conflict,True
F0005,2,connectivity,real_need,S3,unknown,0.96,,agreed,False
F0006,2,connectivity,real_need,S3,unknown,0.82,,agreed,False
F0007,2,connectivity,real_need,S3,unknown,0.88,,agreed,False
F0008,2,hardware,real_need,S3,influence,0.9,severity;purchase_impact,conflict,True
F0009,2,connectivity,real_need,S2,influence,0.88,severity,conflict,True
F0010,1,firmware,real_need,S3,blocker,0.82,sentiment;purchase_impact,conflict,False
F0011,2,data_accuracy,real_need,S3,unknown,0.88,severity,conflict,True
F0012,2,hardware,real_need,S4,influence,0.9,,agreed,False
F0013,2,connectivity,real_need,S4,influence,0.82,severity;purchase_impact,conflict,True
F0014,2,navigation,real_need,S3,influence,0.88,need_type;severity;purchase_impact,conflict,True
F0015,3,feature_request,feature_request,S5,unknown,0.85,sentiment;theme_primary,conflict,True
F0016,2,display_ux,real_need,S4,no_impact,0.92,sentiment;purchase_impact,conflict,False
F0017,1,navigation,real_need,S2,blocker,0.92,sentiment;severity,conflict,True
F0018,2,data_accuracy,real_need,S3,influence,0.92,theme_primary;severity;purchase_impact,conflict,True
F0019,1,firmware,real_need,S2,blocker,0.95,purchase_impact,conflict,False
F0020,1,firmware,real_need,S1,influence,0.85,severity;purchase_impact,conflict,True
F0021,2,firmware,incidental_failure,S2,unknown,0.62,need_type,conflict,True
F0022,2,firmware,real_need,S4,influence,0.92,severity;purchase_impact,conflict,True
F0023,1,firmware,real_need,S2,unknown,0.82,sentiment,conflict,False
F0024,2,hardware,real_need,S3,unknown,0.88,,agreed,False
F0025,2,data_accuracy,real_need,S3,unknown,0.88,,agreed,False
F0026,2,data_accuracy,real_need,S2,influence,0.88,severity;purchase_impact,conflict,True
F0027,1,hardware,real_need,S2,blocker,0.92,,agreed,False
F0028,2,hardware,real_need,S4,influence,0.88,purchase_impact,conflict,False
F0029,2,hardware,real_need,S4,unknown,0.96,severity,conflict,True
F0032,1,other,unknown,S3,unknown,0.55,sentiment;theme_primary,conflict,True
F0033,1,firmware,real_need,S2,blocker,0.92,sentiment;purchase_impact,conflict,False
F0034,2,display_ux,real_need,S4,unknown,0.88,,agreed,False
F0035,2,connectivity,real_need,S3,unknown,0.78,theme_primary;need_type,conflict,True
F0036,2,data_accuracy,real_need,S3,unknown,0.98,,agreed,False
F0037,2,firmware,feature_request,S3,influence,0.62,need_type;purchase_impact,conflict,True
F0038,2,firmware,real_need,S3,influence,0.92,theme_primary;severity;purchase_impact,conflict,True
F0040,2,connectivity,real_need,S3,influence,0.85,purchase_impact,conflict,False
F0041,2,data_accuracy,real_need,S2,unknown,0.72,,agreed,False
F0042,3,other,unknown,S5,unknown,0.0,,failed,True
F0043,2,feature_request,feature_request,S5,influence,0.85,severity,conflict,True
F0044,1,display_ux,real_need,S3,influence,0.85,theme_primary;purchase_impact,conflict,True
F0045,4,feature_request,feature_request,S5,unknown,0.95,purchase_impact,conflict,False
F0046,2,after_sales,emotional_complaint,S4,unknown,0.7,need_type,conflict,True
F0047,1,data_accuracy,real_need,S2,unknown,0.85,,agreed,False
F0048,2,other,unknown,S5,unknown,0.3,theme_primary;need_type,conflict,True
