feedback_id,sentiment,theme_primary,need_type,severity,purchase_impact,review_status
F0001,2,connectivity,real_need,S3,unknown,approved
F0002,2,connectivity,real_need,S3,unknown,approved
F0003,2,display_ux,real_need,S2,unknown,pending
F0004,2,firmware,real_need,S4,unknown,pending
F0005,2,connectivity,real_need,S3,unknown,approved
F0006,2,connectivity,real_need,S3,unknown,approved
F0007,2,connectivity,real_need,S3,unknown,approved
F0008,2,hardware,real_need,S4,unknown,pending
F0009,2,connectivity,real_need,S3,influence,pending
F0010,2,firmware,real_need,S3,influence,approved
F0011,2,data_accuracy,real_need,S4,unknown,pending
F0012,2,hardware,real_need,S4,influence,approved
F0013,2,connectivity,real_need,S3,unknown,pending
F0014,2,navigation,feature_request,S4,unknown,pending
F0015,2,connectivity,feature_request,S5,unknown,pending
F0016,3,display_ux,real_need,S4,unknown,approved
F0017,2,navigation,real_need,S1,blocker,pending
F0018,2,navigation,real_need,S2,unknown,pending
F0019,1,firmware,real_need,S2,unknown,approved
F0020,1,firmware,real_need,S2,unknown,pending
F0021,2,firmware,real_need,S2,unknown,pending
F0022,2,firmware,real_need,S3,unknown,pending
F0023,2,firmware,real_need,S2,unknown,approved
F0024,2,hardware,real_need,S3,unknown,approved
F0025,2,data_accuracy,real_need,S3,unknown,approved
F0026,2,data_accuracy,real_need,S3,unknown,pending
F0027,1,hardware,real_need,S2,blocker,approved
F0028,2,hardware,real_need,S4,unknown,approved
F0029,2,hardware,real_need,S3,unknown,pending
F0032,3,compatibility,unknown,S3,unknown,pending
F0033,2,firmware,real_need,S2,unknown,approved
F0034,2,display_ux,real_need,S4,unknown,approved
F0035,2,feature_request,feature_request,S3,unknown,pending
F0036,2,data_accuracy,real_need,S3,unknown,approved
F0037,2,firmware,real_need,S3,unknown,pending
F0038,2,hardware,real_need,S2,blocker,pending
F0040,2,connectivity,real_need,S3,unknown,approved
F0041,2,data_accuracy,real_need,S2,unknown,approved
F0042,3,other,unknown,S5,unknown,pending
F0043,2,feature_request,feature_request,S4,influence,pending
F0044,1,connectivity,real_need,S3,unknown,pending
F0045,4,feature_request,feature_request,S5,influence,approved
F0046,2,after_sales,real_need,S4,unknown,pending
F0047,1,data_accuracy,real_need,S2,unknown,approved
F0048,2,compatibility,emotional_complaint,S5,unknown,pending
F0049,1,connectivity,real_need,S3,unknown,pending
F0050,2,other,unknown,S2,unknown,pending
F0051,5,other,emotional_complaint,S5,no_impact,pending
F0052,2,connectivity,real_need,S2,unknown,pending
F0053,2,compatibility,feature_request,S3,influence,pending
F0054,1,connectivity,real_need,S2,unknown,pending
F0055,2,feature_request,feature_request,S4,unknown,pending
F0056,3,other,emotional_complaint,S5,unknown,pending
F0057,3,feature_request,feature_request,S5,unknown,pending
F0058,1,price_value,emotional_complaint,S4,influence,pending
F0059,2,feature_request,feature_request,S5,unknown,pending
F0060,1,connectivity,real_need,S3,unknown,approved
F0061,2,connectivity,emotional_complaint,S5,unknown,pending
F0062,1,connectivity,real_need,S3,influence,pending
F0063,2,connectivity,unknown,S3,unknown,pending
F0064,3,feature_request,feature_request,S5,unknown,pending
F0065,2,feature_request,emotional_complaint,S5,unknown,pending
F0066,1,after_sales,emotional_complaint,S4,unknown,pending
F0067,1,connectivity,unknown,S3,unknown,pending
F0068,1,connectivity,unknown,S4,influence,pending
F0069,1,compatibility,real_need,S3,influence,approved
F0070,1,other,emotional_complaint,S5,unknown,approved
F0071,2,display_ux,real_need,S2,unknown,pending
F0072,2,connectivity,unknown,S3,unknown,pending
F0073,2,firmware,operation_misunderstanding,S5,influence,pending
F0074,1,other,emotional_complaint,S5,unknown,approved
F0075,1,connectivity,unknown,S3,unknown,pending
F0076,4,feature_request,feature_request,S5,unknown,pending
F0077,2,feature_request,feature_request,S5,unknown,approved
F0078,3,other,unknown,S5,unknown,pending
F0079,2,compatibility,feature_request,S5,unknown,approved
F0080,2,data_accuracy,real_need,S1,unknown,pending
F0081,2,compatibility,feature_request,S4,influence,pending
F0082,2,connectivity,real_need,S3,unknown,pending
F0083,4,feature_request,feature_request,S5,no_impact,approved
F0084,2,compatibility,feature_request,S5,unknown,approved
F0085,4,other,emotional_complaint,S5,no_impact,approved
F0086,2,feature_request,feature_request,S5,unknown,pending
F0087,4,other,emotional_complaint,S5,unknown,approved
F0088,2,feature_request,feature_request,S5,unknown,approved
F0089,2,connectivity,real_need,S3,unknown,approved
F0090,2,data_accuracy,real_need,S3,unknown,pending
